"fdc_id","nutrient_id","amount"
"321358","1008","229.0"
"321358","1003","7.35"
"321358","1004","17.1"
"321358","1005","14.9"
"321358","2047","243"
"321358","2048","229"
"321359","1005","4.91"
"321359","1004","1.9"
"321359","1003","3.35"
"321359","1008","50.0"
"321360","1005","5.51"
"321360","1008","27.0"
"321360","1003","0.83"
"321360","1004","0.63"
"321360","2047","31"
"321360","2048","27"
"321611","1005","4.11"
"321611","1004","0.39"
"321611","1003","1.04"
"321611","1008","21.0"
"321611","2047","24"
"321611","2048","20"
"321900","1003","2.57"
"321900","1004","0.34"
"321900","1008","32.0"
"321900","1005","6.29"
"322228","1003","3.38"
"322228","1004","0.95"
"322228","1008","43.0"
"322228","1005","5.19"
"322559","1004","0.08"
"322559","1003","3.43"
"322559","1005","4.89"
"322559","1008","34.0"
"322892","1003","3.28"
"322892","1008","60.0"
"322892","1004","3.2"
"322892","1005","4.67"
"323121","1003","11.7"
"323121","1004","28.0"
"323121","1008","314.0"
"323121","1005","2.89"
"323121","2047","310"
"323121","2048","314"
"323294","1005","16.2"
"323294","1008","620.0"
"323294","1004","57.8"
"323294","1003","20.4"
"323294","2047","667"
"323294","2048","621"
"323444","1004","11.0"
"323444","1008","157.0"
"323444","1005","6.86"
"323444","1003","7.81"
"323505","1003","2.92"
"323505","1005","4.42"
"323505","1008","35.0"
"323505","1004","1.49"
"323505","2047","43"
"323505","2048","35"
"323604","1005","0.91"
"323604","1008","150.0"
"323604","1003","12.3"
"323604","1004","10.3"
"323604","2047","146"
"323604","2048","150"
"323697","1004","0.16"
"323697","1008","48.0"
"323697","1005","0.74"
"323697","1003","10.1"
"323697","2047","45"
"323697","2048","48"
"323793","1005","6.02"
"323793","1003","79.9"
"323793","1004","0.65"
"323793","1008","376.0"
"323793","2047","350"
"323793","2048","376"
"324038","1008","29.0"
"324038","1004","0.19"
"324038","1005","6.74"
"324038","1003","1.44"
"324157","1003","13.3"
"324157","1004","28.7"
"324157","1008","328.0"
"324157","1005","3.37"
"324157","2047","325"
"324157","2048","329"
"324317","1003","4.52"
"324317","1004","14.4"
"324317","1005","36.3"
"324317","1008","288.0"
"324317","2047","293"
"324317","2048","289"
"324653","1003","0.48"
"324653","1008","12.0"
"324653","1004","0.43"
"324653","1005","1.99"
"324653","2047","14"
"324653","2048","12"
"324860","1003","22.5"
"324860","1005","22.3"
"324860","1004","51.1"
"324860","1008","597.0"
"324860","2047","639"
"324860","2048","597"
"325036","1008","421.0"
"325036","1005","12.4"
"325036","1003","29.6"
"325036","1004","28.0"
"325036","2047","420"
"325036","2048","420"
"325198","1004","30.6"
"325198","1003","18.0"
"325198","1008","366.0"
"325198","1005","5.27"
"325198","2047","368"
"325198","2048","366"
"325287","1004","0.7"
"325287","1005","7.59"
"325287","1003","0.55"
"325287","1008","37.0"
"325287","2047","39"
"325287","2048","37"
"325430","1004","0.27"
"325430","1005","10.1"
"325430","1008","42.0"
"325430","1003","0.91"
"325430","2047","46"
"325430","2048","42"
"325524","1005","17.1"
"325524","1004","56.1"
"325524","1008","612.0"
"325524","1003","21.0"
"325524","2047","657"
"325524","2048","612"
"325658","1003","18.2"
"325658","1008","322.0"
"325658","1005","2.15"
"325658","1004","26.2"
"325871","1004","3.59"
"325871","1003","9.43"
"325871","1008","270.0"
"325871","1005","49.2"
"325871","2047","267"
"325871","2048","270"
"325992","1008","169.0"
"325992","1003","16.7"
"325992","1005","0.93"
"325992","1004","10.4"
"326135","1005","1.44"
