"fdc_id","nutrient_id","amount"
"167512","1003","5.88"
"167512","1004","13.24"
"167512","1005","41.18"
"167512","1008","307"
"167513","1003","4.34"
"167513","1004","11.27"
"167513","1005","53.42"
"167513","1008","330"
"167514","1004","3.7"
"167514","1005","79.8"
"167514","1008","377"
"167514","1003","6.1"
"167515","1003","8"
"167515","1004","1.8"
"167515","1005","46"
"167515","1008","232"
"167516","1003","6.58"
"167516","1008","273"
"167516","1004","9.22"
"167516","1005","41.05"
"167517","1004","9.49"
"167517","1005","48.39"
"167517","1008","309"
"167517","1003","7.42"
"167518","1003","6.92"
"167518","1004","9.4"
"167518","1005","44.16"
"167518","1008","289"
"167519","1004","9.91"
"167519","1005","45.41"
"167519","1008","298"
"167519","1003","6.71"
"167520","1005","64.3"
"167520","1008","501"
"167520","1004","24.83"
"167520","1003","5.1"
"167521","1004","22.42"
"167521","1005","64.48"
"167521","1008","484"
"167521","1003","6.08"
"167522","1003","2.17"
"167522","1004","11.5"
"167522","1005","44.54"
"167522","1008","290"
"167523","1004","28.74"
"167523","1005","46.79"
"167523","1008","468"
"167523","1003","5.52"
"167524","1005","45.68"
"167524","1008","297"
"167524","1003","5.8"
"167524","1004","10.1"
"167525","1003","6.15"
"167525","1004","23.38"
"167525","1005","64.43"
"167525","1008","474"
"167526","1004","17.12"
"167526","1003","7.12"
"167526","1005","47.84"
"167526","1008","374"
"167527","1003","7.06"
"167527","1004","17.45"
"167527","1005","51.29"
"167527","1008","390"
"167528","1004","18.5"
"167528","1005","47.76"
"167528","1008","379"
"167528","1003","5.48"
"167529","1003","14.25"
"167529","1004","13.35"
"167529","1005","64.35"
"167529","1008","433"
"167530","1004","20.37"
"167530","1005","64.55"
"167530","1008","484"
"167530","1003","7.01"
"167531","1003","7.19"
"167531","1004","19.5"
"167531","1005","64.88"
"167531","1008","464"
"167532","1004","2.15"
"167532","1005","43.91"
"167532","1008","238"
"167532","1003","10.66"
"167533","1003","10.2"
"167533","1004","1.53"
"167533","1005","48.89"
"167533","1008","250"
"167534","1003","4.41"
"167534","1004","18.52"
"167534","1005","37.43"
"167534","1008","334"
"167535","1004","7.58"
"167535","1005","49.27"
"167535","1008","297"
"167535","1003","8.01"
"167536","1003","33.2"
"167536","1004","25.6"
"167536","1005","11"
"167536","1008","410"
"167537","1003","6.17"
"167537","1004","33.36"
"167537","1005","57.27"
"167537","1008","539"
"167538","1003","7"
"167538","1004","32.7"
"167538","1005","56.2"
"167538","1008","523"
"167539","1004","26.9"
"167539","1005","62.9"
"167539","1008","510"
"167539","1003","5.8"
"167540","1004","2.68"
"167540","1005","82.82"
"167540","1008","359"
"167540","1003","1"
"167541","1003","0.1"
"167541","1005","85.8"
"167541","1008","371"
"167541","1004","3"
"167542","1008","471"
"167542","1004","19.8"
"167542","1005","64.4"
"167542","1003","10.1"
"167543","1003","7.7"
"167543","1004","25.5"
"167543","1005","62"
"167543","1008","495"
"167544","1003","7.6"
"167544","1004","17.8"
"167544","1005","66.4"
"167544","1008","448"
"167545","1004","24.9"
"167545","1005","63.8"
"167545","1008","466"
"167545","1003","5.8"
"167546","1008","473"
"167546","1003","8.72"
"167546","1004","20.18"
"167546","1005","67.41"
"167547","1008","508"
"167547","1003","10.2"
"167547","1004","31.1"
"167547","1005","53.4"
"167548","1004","20"
"167548","1005","62.2"
"167548","1008","432"
"167548","1003","9.8"
"167549","1003","7.29"
"167549","1004","43.55"
"167549","1005","45.06"
"167549","1008","583"
"167550","1004","3.1"
"167550","1005","80.1"
"167550","1008","384"
"167550","1003","9.7"
"167551","1003","6.4"
"167551","1004","7.8"
"167551","1005","80.7"
"167551","1008","400"
"167552","1004","12.8"
"167552","1005","79.1"
"167552","1008","431"
"167552","1003","3.8"
"167553","1003","4.56"
"167553","1004","26.14"
"167553","1008","502"
"167553","1005","64.76"
"167554","1003","6.6"
"167554","1004","37"
"167554","1005","51.3"
"167554","1008","547"
"167555","1008","384"
"167555","1003","10.04"
"167555","1005","80.39"
"167555","1004","2.93"
"167556","1008","457"
"167556","1003","7.5"
"167556","1004","16.7"
"167556","1005","70.9"
"167557","1004","3.8"
"167557","1005","81.5"
"167557","1008","392"
"167557","1003","7.6"
"167558","1004","20.68"
"167558","1005","67.78"
"167558","1008","472"
"167558","1003","7.1"
"167559","1003","7.36"
"167559","1004","27.42"
"167559","1005","60.81"
"167559","1008","519"
"167560","1005","62.74"
"167560","1008","501"
"167560","1004","24.63"
"167560","1003","7.19"
"167561","1003","13.8"
"167561","1004","29.4"
"167561","1005","44.9"
"167561","1008","462"
"167562","1004","26.93"
"167562","1005","59.51"
"167562","1008","479"
"167562","1003","4.13"
"167563","1003","2.97"
"167563","1004","1.7"
"167563","1005","79.38"
"167563","1008","338"
"167564","1008","388"
"167564","1004","7.5"
"167564","1003","2"
"167564","1005","80.89"
"167565","1003","5.4"
"167565","1004","18.9"
"167565","1005","72.9"
"167565","1008","459"
"167566","1003","1.59"
"167566","1004","3.31"
"167566","1005","87.73"
"167566","1008","387"
"167567","1005","36.2"
"167567","1004","47.7"
"167567","1008","472"
"167567","1003","12.1"
"167568","1004","52.31"
"167568","1003","14.32"
"167568","1005","28.42"
"167568","1008","642"
"167569","1003","5.87"
"167569","1004","27"
"167569","1005","63.94"
"167569","1008","522"
"167570","1003","18.3"
"167570","1004","29.8"
"167570","1005","46.88"
"167570","1008","529"
"167571","1004","32.09"
"167571","1003","5.87"
"167571","1005","59.24"
"167571","1008","539"
"167572","1004","4.83"
"167572","1003","4.78"
"167572","1005","29.46"
"167572","1008","180"
"167573","1005","22.29"
"167573","1008","249"
"167573","1004","16.2"
"167573","1003","3.5"
"167574","1004","4.03"
"167574","1003","4.53"
"167574","1005","22.78"
"167574","1008","145"
"167575","1005","23.6"
"167575","1008","207"
"167575","1004","11"
"167575","1003","3.5"
"167576","1003","4.9"
"167576","1005","21.8"
"167576","1008","126"
"167576","1004","2.6"
"167577","1004","2"
"167577","1003","1.1"
"167577","1005","30.4"
"167577","1008","144"
"167578","1003","3.78"
"167578","1004","6.59"
"167578","1005","77.75"
"167578","1008","387"
"167579","1003","1.05"
"167579","1004","5.45"
"167579","1005","82.15"
"167579","1008","383"
"167580","1004","13.69"
"167580","1005","74.61"
"167580","1008","435"
"167580","1003","3"
"167581","1003","9.7"
"167581","1004","34"
"167581","1005","53"
"167581","1008","512"
"167582","1005","64.8"
"167582","1008","475"
"167582","1003","5.4"
"167582","1004","21.6"
"167583","1003","2.56"
"167583","1004","2.32"
"167583","1005","79.16"
"167583","1008","348"
"167584","1003","0"
"167584","1004","0.09"
"167584","1005","72.43"
"167584","1008","291"
"167585","1004","7.19"
"167585","1003","5"
"167585","1005","25.7"
"167585","1008","187"
"167586","1005","60.4"
"167586","1008","519"
"167586","1004","27.5"
"167586","1003","7.5"
"167587","1004","29.66"
"167587","1003","7.65"
"167587","1005","59.4"
"167587","1008","535"
"167588","1004","1.7"
"167588","1005","19.74"
"167588","1008","105"
"167588","1003","2.76"
"167589","1003","2.9"
"167589","1004","1.73"
"167589","1005","18.43"
"167589","1008","101"
"167590","1004","8.2"
"167590","1005","40.24"
"167590","1008","257"
"167590","1003","5.65"
"167591","1003","10.91"
"167591","1004","15.92"
"167591","1005","67.18"
"167591","1008","456"
"167592","1004","17.89"
"167592","1005","76.03"
"167592","1008","474"
"167592","1003","2.19"
"167593","1003","2.19"
"167593","1004","18.79"
"167593","1005","77.34"
"167593","1008","487"
"167594","1003","9.42"
"167594","1004","18.42"
"167594","1005","65.81"
"167594","1008","467"
"167595","1004","17.29"
"167595","1005","64.7"
"167595","1008","459"
"167595","1003","11.16"
"167596","1003","9.67"
"167596","1004","18.93"
"167596","1005","65.11"
"167596","1008","469"
"167597","1004","10.7"
"167597","1005","52.83"
"167597","1008","320"
"167597","1003","3.13"
"167598","1003","5.4"
"167598","1004","8.02"
"167598","1005","51.15"
"167598","1008","298"
"167599","1004","9.34"
"167599","1005","49.09"
"167599","1008","309"
"167599","1003","7.25"
"167600","1003","11.8"
"167600","1004","11.6"
"167600","1005","44.29"
