"fdc_id","nutrient_id","amount"
"2705384","204","2.14"
"2705384","208","52"
"2705384","205","4.83"
"2705384","203","3.33"
"2705385","205","4.63"
"2705385","204","3.2"
"2705385","203","3.27"
"2705385","208","61"
"2705386","203","3.36"
"2705386","208","50"
"2705386","205","4.9"
"2705386","204","1.9"
"2705387","205","5.18"
"2705387","204","0.95"
"2705387","208","43"
"2705387","203","3.38"
"2705388","208","34"
"2705388","205","4.92"
"2705388","203","3.43"
"2705388","204","0.08"
"2705389","208","43"
"2705389","205","5.18"
"2705389","204","0.95"
"2705389","203","3.38"
"2705390","208","34"
"2705390","205","4.92"
"2705390","203","3.43"
"2705390","204","0.08"
"2705391","203","3.36"
"2705391","204","1.9"
"2705391","208","50"
"2705391","205","4.9"
"2705392","204","3.2"
"2705392","205","4.63"
"2705392","208","61"
"2705392","203","3.27"
"2705393","205","4.81"
"2705393","204","1.08"
"2705393","203","3.46"
"2705393","208","43"
"2705394","204","0.96"
"2705394","205","7.48"
"2705394","208","52"
"2705394","203","3.59"
"2705395","204","4.14"
"2705395","205","4.45"
"2705395","208","69"
"2705395","203","3.56"
"2705396","208","32"
"2705396","203","3.2"
"2705396","204","0.07"
"2705396","205","4.6"
"2705397","204","4.08"
"2705397","203","4.01"
"2705397","205","5.86"
"2705397","208","76"
"2705398","208","134"
"2705398","203","6.81"
"2705398","205","10.04"
"2705398","204","7.56"
"2705399","203","6.81"
"2705399","204","7.56"
"2705399","205","10.04"
"2705399","208","134"
"2705400","204","1.96"
"2705400","208","92"
"2705400","205","11.15"
"2705400","203","7.42"
"2705401","203","7.55"
"2705401","208","78"
"2705401","205","11.35"
"2705401","204","0.2"
"2705402","204","8.7"
"2705402","208","321"
"2705402","205","54.4"
"2705402","203","7.91"
"2705403","204","1.6"
"2705403","208","31"
"2705403","203","1.14"
"2705403","205","3.04"
"2705404","204","2.05"
"2705404","203","3.41"
"2705404","205","5.22"
"2705404","208","53"
"2705405","203","3.55"
"2705405","208","38"
"2705405","205","1.29"
"2705405","204","2.12"
"2705406","205","8.32"
"2705406","208","64"
"2705406","204","2.03"
"2705406","203","3.35"
"2705407","208","30"
"2705407","204","1.18"
"2705407","205","4.31"
"2705407","203","0.53"
"2705408","204","1.2"
"2705408","205","7.44"
"2705408","203","0.57"
"2705408","208","43"
"2705409","208","15"
"2705409","204","1.22"
"2705409","203","0.55"
"2705409","205","0.34"
"2705410","208","20"
"2705410","205","1.53"
"2705410","204","1.21"
"2705410","203","0.54"
"2705411","208","47"
"2705411","205","9.17"
"2705411","203","0.28"
"2705411","204","0.97"
"2705412","208","45"
"2705412","205","5.37"
"2705412","203","0.66"
"2705412","204","2.33"
"2705413","203","0.21"
"2705413","204","2.08"
"2705413","205","2.92"
"2705413","208","31"
"2705414","203","6.67"
"2705414","208","94"
"2705414","204","2.87"
"2705414","205","10.22"
"2705415","208","91"
"2705415","203","9.11"
"2705415","205","10.78"
"2705415","204","1.33"
"2705416","203","4.57"
"2705416","208","93"
"2705416","205","15.69"
"2705416","204","1.34"
"2705417","205","7.04"
"2705417","204","1.55"
"2705417","203","5.25"
"2705417","208","63"
"2705418","205","5.57"
"2705418","208","78"
"2705418","203","3.82"
"2705418","204","4.48"
"2705419","204","1.55"
"2705419","208","63"
"2705419","203","5.25"
"2705419","205","7.04"
"2705420","205","8.08"
"2705420","203","4.23"
"2705420","208","50"
"2705420","204","0.09"
"2705421","208","67"
"2705421","204","1.36"
"2705421","203","10.2"
"2705421","205","3.6"
"2705422","205","4.75"
"2705422","204","4.39"
"2705422","203","8.78"
"2705422","208","94"
"2705423","208","67"
"2705423","204","1.36"
"2705423","205","3.6"
"2705423","203","10.2"
"2705424","203","10.3"
"2705424","208","59"
"2705424","205","3.64"
"2705424","204","0.37"
"2705425","203","4.57"
"2705425","205","15.69"
"2705425","204","1.34"
"2705425","208","93"
"2705426","205","14.43"
"2705426","203","3.34"
"2705426","204","3.86"
"2705426","208","106"
"2705427","203","4.57"
"2705427","204","1.34"
"2705427","205","15.69"
"2705427","208","93"
"2705428","208","46"
"2705428","205","7.64"
"2705428","203","3.64"
"2705428","204","0.08"
"2705429","208","91"
"2705429","205","10.78"
"2705429","203","9.11"
"2705429","204","1.33"
"2705430","204","3.91"
"2705430","208","114"
"2705430","205","11.8"
"2705430","203","7.85"
"2705431","208","91"
"2705431","205","10.78"
"2705431","204","1.33"
"2705431","203","9.11"
"2705432","203","9.21"
"2705432","204","0.34"
"2705432","208","83"
"2705432","205","10.81"
"2705433","205","13.02"
"2705433","208","82"
"2705433","204","1.36"
"2705433","203","4.51"
"2705434","208","95"
"2705434","204","3.88"
"2705434","203","3.28"
"2705434","205","11.76"
"2705435","203","4.51"
"2705435","208","82"
"2705435","205","13.02"
"2705435","204","1.36"
"2705436","205","7.94"
"2705436","204","0.08"
"2705436","203","3.64"
"2705436","208","47"
"2705437","204","1.34"
"2705437","203","9.07"
"2705437","208","81"
"2705437","205","8.18"
"2705438","205","9.21"
"2705438","204","3.92"
"2705438","203","7.81"
"2705438","208","104"
"2705439","203","9.07"
"2705439","205","8.18"
"2705439","208","81"
"2705439","204","1.34"
"2705440","205","8.22"
"2705440","203","9.17"
"2705440","204","0.34"
"2705440","208","73"
"2705441","203","9.22"
"2705441","208","149"
"2705441","204","3.67"
"2705441","205","20.02"
"2705442","203","3.65"
"2705442","208","74"
"2705442","205","12.55"
"2705442","204","1.07"
"2705443","203","4.34"
"2705443","205","13.68"
"2705443","208","81"
"2705443","204","1.03"
"2705444","205","3.33"
"2705444","203","7.93"
"2705444","204","15.99"
"2705444","208","189"
"2705445","204","12.91"
"2705445","208","160"
"2705445","205","4.06"
"2705445","203","6.82"
"2705446","204","16.09"
"2705446","208","195"
"2705446","203","8.48"
"2705446","205","4.13"
"2705447","208","159"
"2705447","204","12.96"
"2705447","205","3.59"
"2705447","203","7.02"
"2705448","205","4.1"
"2705448","208","91"
"2705448","203","5.22"
"2705448","204","6"
"2705449","205","3.76"
"2705449","208","191"
"2705449","204","16.03"
"2705449","203","8.16"
"2705450","205","16.08"
"2705450","203","5.25"
"2705450","204","2.18"
"2705450","208","104"
"2705451","205","21.6"
"2705451","204","3.6"
"2705451","203","3"
"2705451","208","127"
"2705452","204","3.6"
"2705452","203","3"
"2705452","205","21.6"
"2705452","208","127"
"2705453","203","3"
"2705453","208","131"
"2705453","205","21.6"
"2705453","204","3.6"
"2705454","208","159"
"2705454","203","4"
"2705454","205","24.2"
"2705454","204","5.6"
"2705455","205","24.87"
"2705455","203","4.31"
"2705455","204","5.76"
"2705455","208","160"
"2705456","203","3.9"
"2705456","205","34.38"
"2705456","208","204"
"2705456","204","6.25"
"2705457","208","127"
"2705457","204","3.6"
"2705457","205","21.6"
"2705457","203","3"
"2705458","204","3.6"
"2705458","205","21.6"
"2705458","208","131"
"2705458","203","3"
"2705459","204","3.73"
"2705459","205","23.9"
"2705459","208","142"
"2705459","203","3.2"
"2705460","205","23.9"
"2705460","208","139"
"2705460","203","3.2"
"2705460","204","3.73"
"2705461","203","3.29"
"2705461","208","143"
"2705461","205","25.28"
"2705461","204","3.61"
"2705462","204","3.61"
"2705462","205","25.28"
"2705462","208","147"
"2705462","203","3.29"
"2705463","208","75"
"2705463","203","4.9"
"2705463","205","9.08"
"2705463","204","2.15"
"2705464","204","4.48"
"2705464","205","5.57"
"2705464","208","78"
"2705464","203","3.82"
"2705465","208","98"
"2705465","203","3.48"
"2705465","205","11.9"
"2705465","204","4.04"
"2705466","205","10.98"
"2705466","208","65"
"2705466","204","0.83"
"2705466","203","3.44"
"2705467","208","83"
"2705467","205","10.34"
"2705467","204","3.39"
"2705467","203","3.17"
"2705468","204","1.9"
"2705468","208","76"
"2705468","203","2.99"
"2705468","205","12.13"
"2705469","204","0"
"2705469","205","13.46"
"2705469","208","67"
"2705469","203","3.39"
"2705470","208","64"
"2705470","203","3.46"
"2705470","204","1.11"
"2705470","205","10.15"
"2705471","208","65"
"2705471","203","3.09"
"2705471","205","8.56"
"2705471","204","1.99"
"2705472","203","1.82"
"2705472","204","1.04"
"2705472","205","13.9"
"2705472","208","72"
"2705473","204","1.54"
"2705473","205","16.53"
"2705473","208","91"
"2705473","203","2.73"
"2705474","203","2.79"
"2705474","204","0.06"
"2705474","205","16.55"
"2705474","208","78"
"2705475","204","1.3"
"2705475","205","15.02"
"2705475","208","76"
"2705475","203","0.93"
"2705476","203","2.7"
"2705476","208","101"
"2705476","205","16.25"
"2705476","204","2.8"
"2705477","204","2.15"
"2705477","205","10.09"
"2705477","203","3.41"
"2705477","208","74"
"2705478","203","1.35"
"2705478","204","1.64"
"2705478","208","54"
"2705478","205","8.41"
"2705479","205","8.38"
"2705479","208","73"
"2705479","203","3.04"
"2705479","204","2.92"
"2705480","208","63"
"2705480","203","3.11"
"2705480","204","1.78"
"2705480","205","8.62"
"2705481","208","57"
"2705481","204","0.95"
"2705481","205","8.87"
"2705481","203","3.13"
"2705482","203","3.18"
"2705482","205","8.64"
"2705482","204","0.19"
"2705482","208","49"
"2705483","204","0.54"
"2705483","203","0.9"
"2705483","208","54"
"2705483","205","11.27"
"2705484","208","97"
"2705484","204","2.18"
"2705484","203","3.81"
"2705484","205","15.51"
"2705485","208","83"
"2705485","203","3.87"
"2705485","205","15.53"
"2705485","204","0.61"
"2705486","204","1.92"
"2705486","203","1.88"
"2705486","205","13.9"
"2705486","208","81"
"2705487","203","0.94"
"2705487","208","65"
"2705487","205","11.2"
"2705487","204","1.83"
"2705488","205","5.87"
"2705488","203","1.26"
"2705488","208","31"
"2705488","204","0.24"
"2705489","208","77"
"2705489","205","10.37"
"2705489","204","1.99"
"2705489","203","4.35"
"2705490","204","1.48"
"2705490","203","1.19"
"2705490","208","54"
"2705490","205","8.92"
"2705491","205","10.44"
"2705491","204","1.73"
"2705491","208","69"
"2705491","203","2.99"
"2705492","203","4.41"
"2705492","204","0.32"
"2705492","208","62"
"2705492","205","10.39"
"2705493","203","3.05"
"2705493","205","10.45"
"2705493","208","56"
"2705493","204","0.25"
"2705494","208","59"
"2705494","204","1.72"
"2705494","205","8.66"
"2705494","203","2.31"
"2705495","203","3.2"
"2705495","205","8.54"
"2705495","204","2.06"
"2705495","208","65"
"2705496","203","3.03"
"2705496","204","2.97"
"2705496","208","86"
"2705496","205","11.79"
"2705497","205","10.7"
"2705497","204","1.8"
"2705497","203","3.16"
"2705497","208","71"
"2705498","208","69"
"2705498","205","12.3"
"2705498","204","0.89"
"2705498","203","3.13"
"2705499","205","12.06"
"2705499","203","3.18"
"2705499","208","61"
"2705499","204","0.09"
"2705500","204","2.1"
"2705500","203","3.27"
"2705500","205","6.72"
"2705500","208","59"
"2705501","203","3.19"
"2705501","205","8.64"
"2705501","208","66"
"2705501","204","2.05"
"2705502","203","4.55"
"2705502","208","88"
"2705502","204","4.19"
"2705502","205","8.05"
"2705503","204","6.14"
"2705503","205","13.53"
"2705503","208","120"
"2705503","203","3.47"
"2705504","208","113"
"2705504","204","5.98"
"2705504","205","11.39"
"2705504","203","3.35"
"2705505","204","3.31"
"2705505","208","97"
"2705505","205","12.93"
"2705505","203","3.99"
"2705506","208","92"
"2705506","205","13.83"
"2705506","204","2.33"
"2705506","203","3.88"
"2705507","205","13.64"
"2705507","204","6.11"
"2705507","208","125"
"2705507","203","3.76"
"2705508","204","6.66"
"2705508","208","150"
"2705508","203","3.7"
"2705508","205","20.36"
"2705509","205","19.59"
"2705509","208","148"
"2705509","203","3.37"
"2705509","204","6.52"
"2705510","204","6.66"
"2705510","203","3.7"
"2705510","205","20.36"
"2705510","208","150"
"2705511","205","19.59"
"2705511","204","6.52"
"2705511","203","3.37"
"2705511","208","148"
"2705512","203","2.33"
"2705512","204","1.45"
"2705512","208","75"
"2705512","205","13.15"
"2705513","208","66"
"2705513","203","2.32"
"2705513","204","1.1"
"2705513","205","11.98"
"2705514","208","66"
"2705514","203","2.32"
"2705514","204","1.1"
"2705514","205","11.98"
"2705515","205","10.04"
"2705515","208","79"
"2705515","203","7.35"
"2705515","204","1.24"
"2705516","205","15.05"
"2705516","203","0.86"
"2705516","208","65"
"2705516","204","0.14"
"2705517","204","0.4"
"2705517","208","49"
"2705517","203","0.64"
"2705517","205","10.68"
"2705518","204","3.56"
"2705518","203","1.38"
"2705518","208","66"
"2705518","205","7.12"
"2705519","208","65"
"2705519","204","3.6"
"2705519","205","6.9"
"2705519","203","1.37"
"2705520","203","1.8"
"2705520","208","67"
"2705520","204","3.63"
"2705520","205","6.77"
"2705521","205","6.77"
"2705521","204","3.63"
"2705521","208","67"
"2705521","203","1.8"
"2705522","208","66"
"2705522","204","3.62"
"2705522","205","6.87"
"2705522","203","1.37"
"2705523","208","66"
"2705523","205","6.87"
"2705523","204","3.62"
"2705523","203","1.37"
"2705524","205","6.87"
"2705524","204","3.62"
"2705524","203","1.37"
"2705524","208","66"
"2705525","203","1.37"
"2705525","208","66"
"2705525","205","6.87"
"2705525","204","3.62"
"2705526","204","3.53"
"2705526","203","1.4"
"2705526","205","6.99"
"2705526","208","65"
"2705527","208","65"
"2705527","205","6.99"
"2705527","204","3.53"
"2705527","203","1.4"
"2705528","204","3.53"
"2705528","205","6.99"
"2705528","203","1.4"
"2705528","208","65"
"2705529","204","3.53"
"2705529","203","1.4"
"2705529","208","65"
"2705529","205","6.99"
"2705530","204","3.48"
"2705530","208","65"
"2705530","205","6.9"
"2705530","203","1.38"
"2705531","208","65"
"2705531","204","3.48"
"2705531","205","6.9"
"2705531","203","1.38"
"2705532","204","3.11"
"2705532","203","1.73"
"2705532","208","58"
"2705532","205","5.87"
"2705533","208","66"
"2705533","204","3.49"
"2705533","205","7.36"
"2705533","203","1.43"
"2705534","204","3.49"
"2705534","208","66"
"2705534","203","1.4"
"2705534","205","7.38"
"2705535","204","3.49"
"2705535","203","1.4"
"2705535","205","7.38"
"2705535","208","66"
"2705536","203","1.4"
"2705536","205","7.38"
"2705536","204","3.49"
"2705536","208","66"
"2705537","205","7.38"
"2705537","203","1.4"
"2705537","204","3.49"
"2705537","208","66"
"2705538","205","7.43"
"2705538","204","3.24"
"2705538","208","65"
"2705538","203","1.6"
"2705539","204","3.24"
"2705539","205","7.43"
"2705539","208","65"
"2705539","203","1.6"
"2705540","208","67"
"2705540","205","7.31"
"2705540","203","1.51"
"2705540","204","3.49"
"2705541","205","7.31"
"2705541","208","67"
"2705541","203","1.51"
"2705541","204","3.49"
"2705542","205","7.31"
"2705542","208","67"
"2705542","203","1.51"
"2705542","204","3.49"
"2705543","204","3.49"
"2705543","203","1.51"
"2705543","208","67"
"2705543","205","7.31"
"2705544","208","67"
"2705544","205","7"
"2705544","204","3.52"
"2705544","203","1.7"
"2705545","203","2.86"
"2705545","208","99"
"2705545","204","4.77"
"2705545","205","11.15"
"2705546","208","62"
"2705546","205","6.43"
"2705546","203","1.72"
"2705546","204","3.32"
"2705547","208","62"
"2705547","204","3.32"
"2705547","205","6.43"
"2705547","203","1.72"
"2705548","204","4.77"
"2705548","203","2.86"
"2705548","205","11.15"
"2705548","208","99"
"2705549","204","3.33"
"2705549","205","7.26"
"2705549","203","1.49"
"2705549","208","65"
"2705550","205","7.3"
"2705550","203","1.45"
"2705550","204","3.34"
"2705550","208","66"
"2705551","205","7.3"
"2705551","204","3.34"
"2705551","208","66"
